id,date,season,location,availablecompounds,comment,nolaps,nolapsplanned,tracklength
106,2019-05-26,2019,MonteCarlo,"A4,A6,A7,I,W",,78,78,3337.0
107,2019-06-09,2019,Montreal,"A4,A6,A7,I,W",,70,70,4361.0
108,2019-06-23,2019,LeCastellet,"A3,A4,A6,I,W",,53,53,5842.0
109,2019-06-30,2019,Spielberg,"A3,A4,A6,I,W",,71,71,4318.0
110,2019-07-14,2019,Silverstone,"A2,A3,A4,I,W",,52,52,5891.0
111,2019-07-28,2019,Hockenheim,"A3,A4,A6,I,W","Wet race",64,67,4574.0
112,2019-08-04,2019,Budapest,"A3,A4,A6,I,W",,70,70,4381.0
113,2019-09-01,2019,Spa,"A2,A3,A4,I,W",,44,44,7004.0
114,2019-09-08,2019,Monza,"A3,A4,A6,I,W",,53,53,5793.0
115,2019-09-22,2019,Singapore,"A4,A6,A7,I,W",,61,61,5063.0
116,2019-09-29,2019,Sochi,"A3,A4,A6,I,W",,53,53,5848.0
117,2019-10-13,2019,Suzuka,"A2,A3,A4,I,W",,52,53,5807.0
118,2019-10-27,2019,MexicoCity,"A3,A4,A6,I,W",,71,71,4304.0
119,2019-11-03,2019,Austin,"A3,A4,A6,I,W",,56,56,5513.0
120,2019-11-17,2019,SaoPaulo,"A2,A3,A4,I,W",,71,71,4309.0
121,2019-12-01,2019,YasMarina,"A4,A6,A7,I,W",,55,55,5554.0
